                 
1     1  77,99793
2     2  89,99899
3     3  76,99845
4     4  88,99993
5     5  65,00000
6     6  52,99998
7     7  44,99062
8     8  37,77929
9     9  33,00000
10   10  26,99999
11   11  24,99318
12   12  19,99988
13   13  20,00000
14   14  18,99999
15   15  18,98840
16   16  17,99981
17   17  18,99993
18   18  18,99735
19   19  15,99457
20   20  19,99451
21   21  18,99565
22   22  18,99407
23   23  18,98967
24   24  19,99998
25   25  18,99281
26   26  18,99700
27   27  19,98719
28   28  19,99993
29   29  19,00000
30   30  19,98872
31   31  18,99995
32   32  18,99309
33   33  18,99995
34   34  19,98927
35   35  20,99996
36   36  19,99865
37   37  19,99888
38   38  19,99448
39   39  69,00015
40   40  72,00003
41   41  75,00064
42   42  84,00027
43   43  72,00008
44   44  68,00127
45   45  60,00002
46   46  54,01549
47   47  44,00226
48   48  41,36895
49   49  44,00364
50   50  43,00230
51   51  46,00000
52   52  44,00026
53   53  44,03111
54   54  41,00000
55   55  41,00000
56   56  41,00012
57   57  53,00002
58   58  58,00432
59   59  62,00000
60   60  61,00003
61   61  62,00000
62   62  61,00044
63   63  61,00122
64   64  66,00263
65   65  69,00038
66   66  75,00006
67   67  80,00005
68   68  83,00000
69   69  85,00001
70   70  88,00023
71   71  94,00015
72   72  89,00000
73   73 100,00824
74   74  95,00003
75   75 105,00014
76   76  95,00006
77   77  94,00006
78   78  92,00061
79   79  91,00339
80   80  91,00000
81   81  89,00008
82   82  83,00075
83   83  79,00054
84   84  78,00026
85   85  73,00003
86   86  67,00000
87   87  62,00123
88   88  28,98660
89   89  32,99997
90   90  37,99623
91   91  45,99816
92   92  50,98619
93   93  60,99573
94   94  74,00000
95   95  77,99959
96   96  76,99968
97   97  76,99992
98   98  75,99991
99   99  77,99987
100 100  77,99552
