                
1     1 42,99951
2     2 37,99805
3     3 43,00000
4     4 72,01336
5     5 39,99954
6     6 63,00500
7     7 65,00000
8     8 47,95110
9     9 48,99999
10   10 38,99998
11   11 30,99480
12   12 26,99999
13   13 26,00192
14   14 30,99982
15   15 26,99955
16   16 25,99986
17   17 29,99546
18   18 26,00000
19   19 61,00106
20   20 29,97338
21   21 28,99835
22   22 61,00929
23   23 29,95793
24   24 34,99974
25   25 58,00037
26   26 46,99717
27   27 46,99800
28   28 56,00000
29   29 56,00001
30   30 57,00008
31   31 57,00357
32   32 58,99995
33   33 57,99996
34   34 57,99956
35   35 56,99990
36   36 48,99989
37   37 45,03431
38   38 43,00730
39   39 32,00042
40   40 33,01004
41   41 38,99891
42   42 46,99922
43   43 35,99918
44   44 39,90286
45   45 56,00002
46   46 32,98373
47   47 54,00791
48   48 60,00983
49   49 65,04522
50   50 28,99478
51   51 33,99984
52   52 32,99999
53   53 35,95388
54   54 31,99999
55   55 26,99904
56   56 28,99333
57   57 54,00107
58   58 41,99924
59   59 31,96481
60   60 47,99406
61   61 26,99995
62   62 43,00136
63   63 42,00019
64   64 46,00000
65   65 44,00001
66   66 52,00985
67   67 50,00336
68   68 60,03720
69   69 62,00080
70   70 60,00059
71   71 59,00092
72   72 51,01695
73   73 48,00056
74   74 27,97498
75   75 45,00823
76   76 41,00000
77   77 40,02906
78   78 38,00010
79   79 33,00559
80   80 34,02077
81   81 34,01505
82   82 39,00022
83   83 37,01904
84   84 44,00016
85   85 47,00005
86   86 42,00048
87   87 43,00235
88   88 32,99725
89   89 35,99959
90   90 36,99980
91   91 26,99948
92   92 37,99703
93   93 39,98800
94   94 37,99835
95   95 26,93887
96   96 59,00000
97   97 26,99640
98   98 44,00000
99   99 57,00007
100 100 42,99993
