                
1     1 14,99477
2     2 28,08417
3     3 28,99914
4     4 35,00031
5     5 27,00583
6     6 25,00028
7     7 14,99968
8     8 21,99988
9     9 37,99946
10   10 40,93469
11   11 41,99264
12   12 28,99603
13   13 43,00466
14   14 45,00003
15   15 15,00175
16   16 14,00000
17   17 45,00251
18   18 16,99522
19   19 16,99967
20   20 17,99879
21   21 21,98680
22   22 15,00000
23   23 15,99166
24   24 15,99985
25   25 30,99999
26   26 26,99998
27   27 21,99987
28   28 43,00010
29   29 38,99995
30   30 22,99698
31   31 37,00000
32   32 37,99985
33   33 37,97415
34   34 17,94339
35   35 42,00000
36   36 18,99994
37   37 14,99999
38   38 15,89825
39   39 43,00029
40   40 43,00455
41   41 19,93478
42   42 44,99997
43   43 19,99851
44   44 17,00346
45   45 25,01281
46   46 14,00000
47   47 14,99972
48   48 17,15350
49   49 20,00480
50   50 22,00281
51   51 57,00053
52   52 49,00000
53   53 44,00554
54   54 63,01960
55   55 23,99998
56   56 20,99678
57   57 24,99993
58   58 25,00080
59   59 19,00000
60   60 26,99676
61   61 22,99996
62   62 20,99998
63   63 14,99028
64   64 15,99972
65   65 27,00004
66   66 19,99803
67   67 19,00441
68   68 36,00077
69   69 32,00303
70   70 20,99997
71   71 31,99999
72   72 45,00002
73   73 44,04248
74   74 41,00034
75   75 33,99995
76   76 45,00201
77   77 25,01148
78   78 45,00199
79   79 14,97218
80   80 15,00004
81   81 15,99297
82   82 31,00000
83   83 37,00002
84   84 28,99968
85   85 35,00044
86   86 33,01186
87   87 29,00385
88   88 29,00065
89   89 27,99999
90   90 14,99980
91   91 18,99357
92   92 18,99997
93   93 40,00010
94   94 40,00127
95   95 27,00000
96   96 30,99980
97   97 43,00089
98   98 30,00188
99   99 19,99992
100 100 14,99997
