                
1     1 28,89849
2     2 25,99934
3     3 54,00000
4     4 70,00025
5     5 59,00002
6     6 43,99981
7     7 37,99376
8     8 30,00000
9     9 25,99878
10   10 25,99997
11   11 25,99995
12   12 25,99356
13   13 25,00000
14   14 25,98808
15   15 31,96769
16   16 29,99999
17   17 34,00000
18   18 43,00094
19   19 54,99991
20   20 66,00036
21   21 67,00054
22   22 67,99764
23   23 28,00000
24   24 40,00042
25   25 69,02618
26   26 70,00003
27   27 58,00005
28   28 68,99968
29   29 68,00034
30   30 66,00008
31   31 66,00309
32   32 65,00120
33   33 61,96636
34   34 53,99999
35   35 48,00149
36   36 42,99460
37   37 38,99997
38   38 33,99994
39   39 50,05355
40   40 46,99997
41   41 51,00000
42   42 54,99999
43   43 62,00377
44   44 28,99992
45   45 65,00012
46   46 29,99964
47   47 26,99994
48   48 70,00002
49   49 67,00014
50   50 35,99681
51   51 46,00000
52   52 72,00013
53   53 48,00001
54   54 26,94264
55   55 28,00000
56   56 31,99564
57   57 66,00482
58   58 25,00000
59   59 32,00248
60   60 53,02006
61   61 39,98967
62   62 35,00058
63   63 40,00380
64   64 49,00000
65   65 45,01308
66   66 48,00000
67   67 59,00126
68   68 55,00012
69   69 59,00000
70   70 59,03520
71   71 37,00005
72   72 38,00005
73   73 39,99996
74   74 70,00459
75   75 40,01304
76   76 39,00167
77   77 28,00039
78   78 62,00069
79   79 70,02606
80   80 61,00010
81   81 60,00001
82   82 60,00067
83   83 54,00229
84   84 53,00461
85   85 44,00013
86   86 41,07256
87   87 46,00148
88   88 35,99961
89   89 25,98014
90   90 29,99933
91   91 57,00000
92   92 55,99412
93   93 32,00733
94   94 25,99950
95   95 56,99993
96   96 33,99993
97   97 38,99396
98   98 53,99330
99   99 73,99930
100 100 29,99883
